,a,x,y
206,1,128,75
207,1,128,1097
208,1,128,1302
209,1,128,988
210,1,128,100
211,1,128,10408
212,1,128,1485
213,1,128,634
214,1,128,2205
215,1,128,407
216,1,128,4243
217,1,128,1302
218,1,128,2728
219,1,128,192
220,1,128,1035
221,1,128,99
222,1,128,1335
223,1,128,2425
224,1,128,247
225,1,128,1713
226,1,128,146
227,1,128,181
228,1,128,1129
229,1,128,129
230,1,128,1180
231,1,128,796
232,1,128,334
233,1,128,498
234,1,128,568
235,1,128,1663
236,1,128,2103
237,1,128,317
238,1,128,798
239,1,128,2080
240,1,128,6502
241,1,128,440
242,1,128,676
243,1,128,1356
244,1,128,466
245,1,128,235
246,1,128,342
247,1,128,751
248,1,128,367
249,1,128,1879
250,1,128,84
251,1,128,259
252,1,128,502
253,1,128,2166
254,1,128,601
255,1,128,784
256,1,128,540
257,1,128,439
258,1,128,1016
259,1,128,5821
260,1,128,279
261,1,128,1897
262,1,128,114
263,1,128,1417
264,1,128,377
265,1,128,6328
266,1,128,772
267,1,128,719
268,1,128,309
269,1,128,299
270,1,128,877
271,1,128,1848
272,1,128,337
273,1,128,1872
274,1,128,1535
275,1,128,249
276,1,128,520
277,1,128,560
278,1,128,955
279,1,128,667
280,1,128,1537
281,1,128,2971
282,1,128,1150
283,1,128,4042
284,1,128,1073
285,1,128,603
286,1,128,1352
287,1,128,2472
288,1,128,894
289,1,128,826
290,1,128,1583
291,1,128,754
292,1,128,1828
293,1,128,567
294,1,128,118
295,1,128,652
296,1,128,695
297,1,128,715
298,1,128,767
299,1,128,415
300,1,128,627
301,1,128,542
302,1,128,996
303,1,128,2158
304,1,128,867
305,1,128,108
306,1,128,1085
307,1,128,1351
308,1,128,2321
309,1,128,498
310,1,128,281
311,1,128,494
312,1,128,620
313,1,128,262
314,1,128,1374
315,1,128,1910
316,1,128,159
317,1,128,3148
318,1,128,231
319,1,128,3021
320,1,128,4828
321,1,128,4567
322,1,128,463
323,1,128,890
324,1,128,4942
325,1,128,313
326,1,128,571
327,1,128,395
328,1,128,408
329,1,128,174
330,1,128,1383
331,1,128,2234
332,1,128,369
333,1,128,271
334,1,128,43
335,1,128,1984
336,1,128,225
337,1,128,474
338,1,128,1378
339,1,128,391
340,1,128,521
341,1,128,1826
342,1,128,275
343,1,128,3666
344,1,128,668
345,1,128,1964
346,1,128,194
347,1,128,1197
348,1,128,549
349,1,128,258
350,1,128,172
351,1,128,389
352,1,128,719
353,1,128,924
354,1,128,490
355,1,128,1325
356,1,128,230
357,1,128,484
358,1,128,538
359,1,128,46
360,1,128,18318
361,1,128,219
362,1,128,625
363,1,128,518
364,1,128,418
365,1,128,1543
366,1,128,790
367,1,128,607
368,1,128,1476
369,1,128,2770
370,1,128,250
371,1,128,120
372,1,128,2547
373,1,128,491
374,1,128,168
375,1,128,624
376,1,128,151
377,1,128,91
378,1,128,530
379,1,128,844
380,1,128,447
381,1,128,272
382,1,128,1753
383,1,128,1045
384,1,128,2019
385,1,128,835
386,1,128,164
387,1,128,213
388,1,128,3929
389,1,128,397
390,1,128,204
391,1,128,617
392,1,128,179
393,1,128,285
394,1,128,148
395,1,128,2330
396,1,128,243
397,1,128,671
398,1,128,84
399,1,128,1045
400,1,128,423
401,1,128,210
402,1,128,1517
403,1,128,1176
404,1,128,200
405,1,128,2148
406,1,128,179
407,1,128,5638
408,1,128,2080
409,1,128,166
410,1,128,1818
411,1,128,4191
412,1,128,2066
413,1,128,408
414,1,128,1711
415,1,128,1123
416,1,128,2107
417,1,128,190
418,1,128,554
419,1,128,2134
420,1,128,311
421,1,128,2066
422,1,128,1012
423,1,128,114
424,1,128,1828
425,1,128,836
426,1,128,184
427,1,128,976
428,1,128,6676
429,1,128,1753
430,1,128,68
431,1,128,583
432,1,128,2770
433,1,128,1471
434,1,128,319
435,1,128,416
436,1,128,195
437,1,128,250
438,1,128,2610
439,1,128,2377
440,1,128,1192
441,1,128,1556
442,1,128,77
443,1,128,606
444,1,128,4608
445,1,128,803
446,1,128,2272
447,1,128,7842
448,1,128,903
449,1,128,1097
450,1,128,2235
451,1,128,1158
452,1,128,1597
453,1,128,110
454,1,128,1856
455,1,128,2216
456,1,128,1249
457,1,128,549
458,1,128,3225
459,1,128,2001
460,1,128,1175
461,1,128,907
462,1,128,1492
463,1,128,863
464,1,128,1359
465,1,128,951
466,1,128,7574
467,1,128,1256
468,1,128,2579
469,1,128,3010
470,1,128,530
471,1,128,266
472,1,128,1104
473,1,128,2103
474,1,128,565
475,1,128,704
476,1,128,1205
477,1,128,416
478,1,128,181
479,1,128,1437
480,1,128,538
481,1,128,1858
482,1,128,676
483,1,128,754
484,1,128,2658
485,1,128,1046
486,1,128,1841
487,1,128,2095
488,1,128,1553
489,1,128,1264
490,1,128,2609
491,1,128,463
492,1,128,377
493,1,128,1039
494,1,128,2658
495,1,128,583
496,1,128,660
497,1,128,283
498,1,128,2249
499,1,128,844
500,1,128,223
501,1,128,706
502,1,128,348
503,1,128,471
504,1,128,2743
505,1,128,1341
506,1,128,406
507,1,128,2785
508,1,128,96
509,1,128,1198
510,1,128,1253
511,1,128,1336
512,1,128,786
513,1,128,4050
514,1,128,210
515,1,128,3145
516,1,128,1249
517,1,128,1459
518,1,128,138
519,1,128,682
520,1,128,418
521,1,128,101
522,1,128,1289
523,1,128,4524
524,1,128,565
525,1,128,1635
526,1,128,364
527,1,128,1295
528,1,128,912
529,1,128,56
530,1,128,6654
531,1,128,3560
532,1,128,1467
533,1,128,511
534,1,128,2086
535,1,128,2312
536,1,128,1836
537,1,128,443
538,1,128,1991
539,1,128,4743
540,1,128,467
541,1,128,1413
542,1,128,1668
543,1,128,2669
544,1,128,1138
545,1,128,699
546,1,128,300
547,1,128,1969
548,1,128,8057
549,1,128,796
550,1,128,1665
551,1,128,313
552,1,128,6838
553,1,128,5245
554,1,128,743
555,1,128,488
556,1,128,985
557,1,128,526
558,1,128,3102
559,1,128,515
560,1,128,699
561,1,128,559
562,1,128,796
563,1,128,1096
564,1,128,3159
565,1,128,2806
566,1,128,2971
567,1,128,328
568,1,128,1988
569,1,128,1619
570,1,128,1194
571,1,128,7948
572,1,128,644
573,1,128,593
574,1,128,610
575,1,128,1473
576,1,128,754
577,1,128,719
578,1,128,1127
579,1,128,1097
580,1,128,574
581,1,128,1311
582,1,128,488
583,1,128,14424
584,1,128,15966
585,1,128,944
586,1,128,1129
587,1,128,918
588,1,128,1565
589,1,128,1268
590,1,128,563
591,1,128,2531
592,1,128,1212
593,1,128,2109
594,1,128,1863
595,1,128,352
596,1,128,1889
597,1,128,446
598,1,128,2271
599,1,128,2367
600,1,128,1222
601,1,128,4275
602,1,128,488
603,1,128,408
604,1,128,1897
605,1,128,2986
606,1,128,2411
607,1,128,76
608,1,128,3854
609,1,128,3419
610,1,128,156
611,1,128,7023
612,1,128,45
613,1,128,1765
614,1,128,800
615,1,128,1069
616,1,128,433
617,1,128,728
618,1,128,7295
619,1,128,2962
620,1,128,526
621,1,128,1552
622,1,128,183
623,1,128,1035
624,1,128,777
625,1,128,3875
626,1,128,3526
627,1,128,163
628,1,128,2306
629,1,128,406
630,1,128,2479
631,1,128,2134
632,1,128,485
633,1,128,2379
634,1,128,207
635,1,128,2132
636,1,128,2024
637,1,128,2596
638,1,128,982
639,1,128,212
640,1,128,2055
641,1,128,198
642,1,128,1396
643,1,128,50
644,1,128,230
645,1,128,11414
646,1,128,2302
647,1,128,1403
648,1,128,918
649,1,128,475
650,1,128,635
651,1,128,633
652,1,128,98
653,1,128,2398
654,1,128,450
655,1,128,419
656,1,128,232
657,1,128,1776
658,1,128,71
659,1,128,222
660,1,128,2706
661,1,128,241
662,1,128,186
663,1,128,550
664,1,128,798
665,1,128,204
666,1,128,1547
667,1,128,457
668,1,128,223
669,1,128,479
670,1,128,1248
671,1,128,150
672,1,128,377
673,1,128,280
674,1,128,6408
675,1,128,163
676,1,128,511
677,1,128,72
678,1,128,339
679,1,128,511
680,1,128,357
681,1,128,711
682,1,128,454
683,1,128,3097
684,1,128,1353
685,1,128,53
686,1,128,1867
687,1,128,481
688,1,128,262
689,1,128,353
690,1,128,330
691,1,128,1318
692,1,128,677
693,1,128,3402
694,1,128,387
695,1,128,443
696,1,128,334
697,1,128,481
698,1,128,161
699,1,128,1278
700,1,128,1223
701,1,128,499
702,1,128,1852
703,1,128,5656
704,1,128,1364
705,1,128,3254
706,1,128,178
707,1,128,1042
708,1,128,688
709,1,128,7354
710,1,128,2658
711,1,128,1417
712,1,128,1157
713,1,128,1416
714,1,128,8962
715,1,128,3694
716,1,128,971
717,1,128,10163
718,1,128,1556
719,1,128,155
720,1,128,85
721,1,128,421
722,1,128,1121
723,1,128,221
724,1,128,1425
725,1,128,220
726,1,128,2365
727,1,128,645
728,1,128,857
729,1,128,788
730,1,128,216
731,1,128,629
732,1,128,152
733,1,128,2978
734,1,128,222
735,1,128,250
736,1,128,207
737,1,128,533
738,1,128,3503
739,1,128,2766
740,1,128,1506
741,1,128,2326
742,1,128,255
743,1,128,2031
744,1,128,2556
745,1,128,188
746,1,128,185
747,1,128,338
748,1,128,308
749,1,128,397
750,1,128,2295
751,1,128,5869
752,1,128,2221
753,1,128,2502
754,1,128,3989
755,1,128,7384
756,1,128,3231
757,1,128,216
758,1,128,545
759,1,128,747
760,1,128,3221
761,1,128,1313
762,1,128,399
763,1,128,5674
764,1,128,3034
765,1,128,900
766,1,128,1340
767,1,128,2467
768,1,128,395
769,1,128,1140
770,1,128,3033
771,1,128,4094
772,1,128,1044
773,1,128,2335
774,1,128,4927
775,1,128,8502
776,1,128,2536
777,1,128,2556
778,1,128,1377
779,1,128,2011
780,1,128,344
781,1,128,5681
782,1,128,1953
783,1,128,1938
784,1,128,3269
785,1,128,514
786,1,128,372
787,1,128,412
788,1,128,369
789,1,128,1541
790,1,128,372
791,1,128,483
792,1,128,196
793,1,128,6230
794,1,128,286
795,1,128,502
796,1,128,641
797,1,128,525
798,1,128,4257
799,1,128,565
800,1,128,262
801,1,128,1016
802,1,128,1059
803,1,128,532
804,1,128,1159
805,1,128,356
806,1,128,390
807,1,128,247
808,1,128,254
809,1,128,180
810,1,128,301
811,1,128,1689
812,1,128,645
813,1,128,1029
814,1,128,401
815,1,128,752
816,1,128,810
817,1,128,320
818,1,128,769
819,1,128,585
820,1,128,387
821,1,128,1698
822,1,128,118
823,1,128,94
824,1,128,190
825,1,128,395
826,1,128,279
827,1,128,373
828,1,128,636
829,1,128,298
830,1,128,310
831,1,128,2295
832,1,128,101
833,1,128,2656
834,1,128,2777
835,1,128,1036
836,1,128,1033
837,1,128,2326
838,1,128,431
839,1,128,1495
840,1,128,407
841,1,128,906
842,1,128,448
843,1,128,4196
844,1,128,1257
845,1,128,315
846,1,128,989
847,1,128,1233
848,1,128,1514
849,1,128,4254
850,1,128,4241
851,1,128,1173
852,1,128,1671
853,1,128,1262
854,1,128,1232
855,1,128,4950
856,1,128,2391
857,1,128,2204
858,1,128,1404
859,1,128,5348
860,1,128,2945
861,1,128,57
862,1,128,2051
863,1,128,6565
864,1,128,1713
865,1,128,7016
866,1,128,554
867,1,128,1834
868,1,128,3628
869,1,128,4565
870,1,128,336
871,1,128,2563
872,1,128,899
873,1,128,1575
874,1,128,473
875,1,128,509
876,1,128,1126
877,1,128,1769
878,1,128,515
879,1,128,1537
880,1,128,775
881,1,128,316
882,1,128,1966
883,1,128,410
884,1,128,1238
885,1,128,132
886,1,128,955
887,1,128,639
888,1,128,1947
889,1,128,586
890,1,128,612
891,1,128,1446
892,1,128,76
893,1,128,4962
894,1,128,1980
895,1,128,3876
896,1,128,2860
897,1,128,1603
898,1,128,1761
899,1,128,4190
900,1,128,729
901,1,128,192
902,1,128,890
903,1,128,4271
904,1,128,932
905,1,128,563
906,1,128,2375
907,1,128,411
908,1,128,867
909,1,128,1132
910,1,128,626
911,1,128,609
912,1,128,767
913,1,128,957
914,1,128,991
915,1,128,3161
916,1,128,541
917,1,128,1987
918,1,128,1813
919,1,128,167
920,1,128,887
921,1,128,625
922,1,128,2518
923,1,128,434
924,1,128,1592
925,1,128,894
926,1,128,4462
927,1,128,747
928,1,128,3029
929,1,128,670
930,1,128,1897
931,1,128,458
932,1,128,458
933,1,128,293
934,1,128,272
935,1,128,814
936,1,128,268
937,1,128,156
938,1,128,244
939,1,128,574
940,1,128,437
941,1,128,704
942,1,128,819
943,1,128,845
944,1,128,375
945,1,128,578
946,1,128,332
947,1,128,255
948,1,128,2226
949,1,128,334
950,1,128,172
951,1,128,285
952,1,128,624
953,1,128,626
954,1,128,302
955,1,128,245
956,1,128,646
957,1,128,687
958,1,128,996
959,1,128,307
960,1,128,747
961,1,128,844
962,1,128,702
963,1,128,2050
964,1,128,1875
965,1,128,111
966,1,128,3376
967,1,128,620
968,1,128,1275
969,1,128,2501
970,1,128,657
971,1,128,1001
972,1,128,1272
973,1,128,278
974,1,128,512
975,1,128,460
976,1,128,836
977,1,128,278
978,1,128,1150
979,1,128,450
980,1,128,688
981,1,128,567
982,1,128,1018
983,1,128,445
984,1,128,63
985,1,128,320
986,1,128,312
987,1,128,1582
988,1,128,17718
989,1,128,255
990,1,128,482
991,1,128,4946
992,1,128,261
993,1,128,6920
994,1,128,853
995,1,128,336
996,1,128,390
997,1,128,2143
998,1,128,836
999,1,128,862
1000,1,128,1072
1001,1,128,405
1002,1,128,610
1003,1,128,1418
1004,1,128,1536
1005,1,128,1511
1006,1,128,216
1007,1,128,1869
1008,1,128,401
1009,1,128,574
1010,1,128,1219
1011,1,128,321
1012,1,128,738
1013,1,128,436
1014,1,128,574
1015,1,128,435
1016,1,128,439
1017,1,128,535
1018,1,128,544
1019,1,128,1341
1020,1,128,368
1021,1,128,538
1022,1,128,385
1023,1,128,1835
1024,1,128,1984
1025,1,128,405
1026,1,128,678
1027,1,128,234
1028,1,128,470
1029,1,128,154
1030,1,128,611
1031,1,128,1409
1032,1,128,459
1033,1,128,658
1034,1,128,969
1035,1,128,373
1036,1,128,877
1037,1,128,483
1038,1,128,541
1039,1,128,166
1040,1,128,332
1041,1,128,4121
1042,1,128,1184
1043,1,128,190
1044,1,128,1024
1045,1,128,1140
1046,1,128,295
1047,1,128,313
1048,1,128,7519
1049,1,128,311
1050,1,128,411
1051,1,128,833
1052,1,128,339
1053,1,128,1911
1054,1,128,839
1055,1,128,624
1056,1,128,377
1057,1,128,242
1058,1,128,323
1059,1,128,1202
1060,1,128,1279
1061,1,128,198
1062,1,128,1284
1063,1,128,647
1064,1,128,329
1065,1,128,460
1066,1,128,290
1067,1,128,367
1068,1,128,307
1069,1,128,525
1070,1,128,1168
1071,1,128,181
1072,1,128,939
1073,1,128,229
1074,1,128,306
1075,1,128,70
1076,1,128,354
1077,1,128,2859
1078,1,128,409
1079,1,128,1074
1080,1,128,246
1081,1,128,303
1082,1,128,211
1083,1,128,537
1084,1,128,535
1085,1,128,39
1086,1,128,1261
1087,1,128,454
1088,1,128,903
1089,1,128,1363
1090,1,128,487
1091,1,128,2401
1092,1,128,856
1093,1,128,267
1094,1,128,1908
1095,1,128,356
1096,1,128,1522
1097,1,128,363
1098,1,128,129
1099,1,128,665
1100,1,128,188
1101,1,128,249
1102,1,128,4049
1103,1,128,196
1104,1,128,343
1105,1,128,906
1106,1,128,259
1107,1,128,322
1108,1,128,223
1109,1,128,418
1110,1,128,1023
1111,1,128,116
1112,1,128,410
1113,1,128,334
1114,1,128,1115
1115,1,128,224
1116,1,128,246
1117,1,128,346
1118,1,128,1366
1119,1,128,2137
1120,1,128,3052
1121,1,128,1531
1122,1,128,54
1123,1,128,308
1124,1,128,259
1125,1,128,756
1126,1,128,169
1127,1,128,523
1128,1,128,486
1129,1,128,952
1130,1,128,3368
1131,1,128,412
1132,1,128,287
1133,1,128,371
1134,1,128,675
1135,1,128,527
1136,1,128,406
1137,1,128,253
1138,1,128,1500
1139,1,128,1984
1140,1,128,671
1141,1,128,163
1142,1,128,97
1143,1,128,4057
1144,1,128,56
1145,1,128,347
1146,1,128,156
1147,1,128,425
1148,1,128,3145
1149,1,128,1436
1150,1,128,2937
1151,1,128,374
1152,1,128,310
1153,1,128,130
1154,1,128,158
1155,1,128,267
1156,1,128,1263
1157,1,128,268
1158,1,128,1021
1159,1,128,115
1160,1,128,1106
1161,1,128,1320
1162,1,128,444
1163,1,128,1245
1164,1,128,1191
1165,1,128,998
1166,1,128,369
1167,1,128,510
1168,1,128,143
1169,1,128,208
1170,1,128,4176
1171,1,128,305
1172,1,128,3568
1173,1,128,1935
1174,1,128,160
1175,1,128,546
1176,1,128,1818
1177,1,128,864
1178,1,128,613
1179,1,128,982
1180,1,128,304
1181,1,128,706
1182,1,128,1720
1183,1,128,2407
1184,1,128,234
1185,1,128,129
1186,1,128,886
1187,1,128,807
1188,1,128,2574
1189,1,128,545
1190,1,128,1316
1191,1,128,2614
1192,1,128,1312
1193,1,128,486
1194,1,128,4058
1195,1,128,991
1196,1,128,2132
1197,1,128,60
1198,1,128,542
1199,1,128,113
1200,1,128,1352
1201,1,128,1467
1202,1,128,838
1203,1,128,805
1204,1,128,157
1205,1,128,1667
1206,1,128,783
1207,1,128,445
1208,1,128,1887
1209,1,128,74
1210,1,128,2205
1211,1,128,2560
1212,1,128,650
1213,1,128,7249
1214,1,128,1732
1215,1,128,386
1216,1,128,1189
1217,1,128,689
1218,1,128,680
1219,1,128,449
1220,1,128,1001
1221,1,128,2770
1222,1,128,1685
1223,1,128,800
1224,1,128,990
1225,1,128,2528
1226,1,128,2285
1227,1,128,514
1228,1,128,1647
1229,1,128,370
1230,1,128,1748
1231,1,128,1584
1232,1,128,5907
1233,1,128,5401
1234,1,128,8363
1235,1,128,1343
1236,1,128,3116
1237,1,128,962
1238,1,128,107
1239,1,128,1434
1240,1,128,61
1241,1,128,7375
1242,1,128,1071
1243,1,128,2144
1244,1,128,568
1245,1,128,72
1246,1,128,554
1247,1,128,1622
1248,1,128,3057
1249,1,128,2426
1250,1,128,595
1251,1,128,55
1252,1,128,898
1253,1,128,4657
1254,1,128,970
1255,1,128,1029
1256,1,128,3333
1257,1,128,1280
1258,1,128,1044
1259,1,128,337
1260,1,128,777
1261,1,128,3020
1262,1,128,1844
1263,1,128,230
1264,1,128,683
1265,1,128,2018
1266,1,128,698
1267,1,128,1456
1268,1,128,851
1269,1,128,72
1270,1,128,65
1271,1,128,104
1272,1,128,712
1273,1,128,4278
1274,1,128,838
1275,1,128,1049
1276,1,128,1460
1277,1,128,1880
1278,1,128,4314
1279,1,128,925
1280,1,128,1528
1281,1,128,952
1282,1,128,1808
1283,1,128,1485
1284,1,128,1421
1285,1,128,7285
1286,1,128,1836
1287,1,128,3023
1288,1,128,1883
1289,1,128,72
1290,1,128,2081
1291,1,128,1427
1292,1,128,7326
1293,1,128,1190
1294,1,128,391
1295,1,128,2316
1296,1,128,1685
1297,1,128,1803
1298,1,128,1275
1299,1,128,737
1300,1,128,162
1301,1,128,576
1302,1,128,1345
1303,1,128,7860
1304,1,128,1853
1305,1,128,1322
1306,1,128,3592
1307,1,128,4089
1308,1,128,930
1309,1,128,1021
1310,1,128,1628
1311,1,128,7441
1312,1,128,1083
1313,1,128,1422
1314,1,128,3127
1315,1,128,3423
1316,1,128,72
1317,1,128,5386
1318,1,128,215
1319,1,128,4124
1320,1,128,1792
1321,1,128,1513
1322,1,128,2020
1323,1,128,2277
1324,1,128,4799
1325,1,128,4467
1326,1,128,2982
1327,1,128,2407
1328,1,128,43
1329,1,128,186
1330,1,128,590
1331,1,128,3199
1332,1,128,864
1333,1,128,1954
1334,1,128,1573
1335,1,128,1535
1336,1,128,122
1337,1,128,681
1338,1,128,3380
1339,1,128,413
1340,1,128,3432
1341,1,128,1010
1342,1,128,1707
1343,1,128,953
1344,1,128,1638
1345,1,128,1967
1346,1,128,6707
1347,1,128,2117
1348,1,128,2030
1349,1,128,717
1350,1,128,60
1351,1,128,3159
1352,1,128,845
1353,1,128,4383
1354,1,128,608
1355,1,128,3814
1356,1,128,1378
1357,1,128,733
1358,1,128,6074
1359,1,128,2263
1360,1,128,39
1361,1,128,445
1362,1,128,2030
1363,1,128,1765
1364,1,128,1118
1365,1,128,747
1366,1,128,1065
1367,1,128,603
1368,1,128,990
1369,1,128,580
1370,1,128,1327
1371,1,128,5024
1372,1,128,4920
1373,1,128,1318
1374,1,128,370
1375,1,128,433
1376,1,128,2161
1377,1,128,823
1378,1,128,100
1379,1,128,871
1380,1,128,380
1381,1,128,2012
1382,1,128,448
1383,1,128,1276
1384,1,128,508
1385,1,128,643
1386,1,128,294
1387,1,128,994
1388,1,128,6704
1389,1,128,1292
1390,1,128,660
1391,1,128,1432
1392,1,128,806
1393,1,128,473
1394,1,128,2635
1395,1,128,1868
1396,1,128,1517
1397,1,128,117
1398,1,128,1910
1399,1,128,487
1400,1,128,143
1401,1,128,513
1402,1,128,1218
1403,1,128,1233
1404,1,128,778
1405,1,128,2749
1406,1,128,3005
1407,1,128,496
1408,1,128,462
1409,1,128,1466
1410,1,128,116
1411,1,128,2642
1412,1,128,180
1413,1,128,961
1414,1,128,791
1415,1,128,327
1416,1,128,1515
1417,1,128,691
1418,1,128,171
1419,1,128,193
1420,1,128,283
1421,1,128,7618
1422,1,128,447
1423,1,128,451
1424,1,128,673
1425,1,128,162
1426,1,128,2618
1427,1,128,131
1428,1,128,2143
1429,1,128,204
1430,1,128,1758
1431,1,128,1752
1432,1,128,419
1433,1,128,2167
1434,1,128,2023
1435,1,128,1069
1436,1,128,662
1437,1,128,447
1438,1,128,865
1439,1,128,272
1440,1,128,358
1441,1,128,7437
1442,1,128,7389
1443,1,128,16153
1444,1,128,18209
1445,1,128,157
1446,1,128,1024
1447,1,128,1020
1448,1,128,2258
1449,1,128,2048
1450,1,128,18496
1451,1,128,783
1452,1,128,1148
1453,1,128,2611
1454,1,128,6714
1455,1,128,5830
1456,1,128,12706
1457,1,128,3814
1458,1,128,377
1459,1,128,2213
1460,1,128,364
1461,1,128,2194
1462,1,128,4466
1463,1,128,1302
1464,1,128,18920
1465,1,128,277
1466,1,128,2320
1467,1,128,355
1468,1,128,4321
1469,1,128,160
1470,1,128,5207
1471,1,128,190
1472,1,128,401
1473,1,128,814
1474,1,128,13012
1475,1,128,904
1476,1,128,1689
1477,1,128,696
1478,1,128,356
1479,1,128,249
1480,1,128,145
1481,1,128,1901
1482,1,128,205
1483,1,128,2494
1484,1,128,188
1485,1,128,3137
1486,1,128,2898
1487,1,128,7846
1488,1,128,8001
1489,1,128,1662
1490,1,128,241
1491,1,128,1264
1492,1,128,153
1493,1,128,18127
1494,1,128,627
1495,1,128,2190
1496,1,128,156
1497,1,128,133
1498,1,128,2194
1499,1,128,4154
1500,1,128,2294
1501,1,128,1138
1502,1,128,3127
1503,1,128,520
1504,1,128,268
1505,1,128,383
1506,1,128,3558
1507,1,128,2902
1508,1,128,334
1509,1,128,236
1510,1,128,2676
1511,1,128,519
1512,1,128,265
1513,1,128,627
1514,1,128,4952
1515,1,128,1271
1516,1,128,3858
1517,1,128,728
1518,1,128,207
1519,1,128,1565
1520,1,128,7123
1521,1,128,983
1522,1,128,228
1523,1,128,18507
1524,1,128,2828
1525,1,128,68
1526,1,128,186
1527,1,128,2032
1528,1,128,94
1529,1,128,1485
1530,1,128,6423
1531,1,128,148
1532,1,128,577
1533,1,128,578
1534,1,128,2527
1535,1,128,487
1536,1,128,889
1537,1,128,760
1538,1,128,433
1539,1,128,202
1540,1,128,2337
1541,1,128,907
1542,1,128,2422
1543,1,128,315
1544,1,128,623
1545,1,128,273
1546,1,128,3973
1547,1,128,412
1548,1,128,553
1549,1,128,300
1550,1,128,1494
1551,1,128,1439
1552,1,128,184
1553,1,128,757
1554,1,128,501
1555,1,128,453
1556,1,128,1372
1557,1,128,1481
1558,1,128,316
1559,1,128,211
1560,1,128,517
1561,1,128,1144
1562,1,128,88
1563,1,128,987
1564,1,128,2073
1565,1,128,889
1566,1,128,548
1567,1,128,266
1568,1,128,1037
1569,1,128,791
1570,1,128,408
1571,1,128,801
1572,1,128,964
1573,1,128,1229
1574,1,128,1075
1575,1,128,1318
1576,1,128,755
1577,1,128,398
1578,1,128,1694
1579,1,128,1665
1580,1,128,1571
1581,1,128,969
1582,1,128,684
1583,1,128,1014
